CityName,iata_code,coordinates,
Argyle Downs,AGY,128.9245,-16.514
Aribinda,XAR,-0.883000016,14.21700001
Arlit,RLT,7.365950108,18.79039955
Arly,ARL,1.48300004,11.59700012
Armstrong,YYW,-88.90969849,50.29029846
Arona,RNA,161.9795465,-9.860543583
Artesia,ATS,-104.4680023,32.85250092
Arviat,YEK,-94.07080078,61.09420013
Asaba,ABB,6.665278,6.204167
Asbury Park,ARX,-74.09083333,40.21930556
Aseki,AEK,146.1938667,-7.350804856
Ashland,ASX,-90.91899872,46.54850006
Aspen,ASE,-106.8690033,39.22320175
Astoria,AST,-123.8789978,46.15800095
Athens,AHN,-83.32630157,33.94860077
Atikokan,YIB,-91.63860321,48.77389908
Atkamba Mission,ABP,141.0952778,-6.065555556
Atlanta,ATL,-84.428101,33.6367
Atlantic,AIO,-95.04689789,41.40729904
Atlantic City,ACY,-74.57720184,39.45759964
Atlantic City,AIY,-74.45610046,39.36000061
Atmautluak,ATT,-162.272995,60.866699
Atoifi,ATD,161.011002,-8.87333
Attawapiskat,YAT,-82.43190002,52.92750168
Attu,QGQ,-53.62186968,67.94066286
Au,GRL,147.213461,-7.980713
Aua Island,AUI,143.0647222,-1.460555556
Auburn,AUN,-121.0820007,38.95479965
Auburn,AUO,-85.433998,32.615101
Augsburg,AGB,10.931667,48.425278
Augusta,AGS,-81.96450043,33.36989975
Augusta,AUG,-69.79730225,44.3205986
Auki,AKS,160.682007,-8.70257
Aumo,AUV,148.4452778,-5.731111111
Aupaluk,YPJ,-69.59970093,59.29669952
Aurora,LDO,-55.40705681,4.376108283
Aurora,BFK,-104.7519989,39.7016983
Austin,ASQ,-117.195,39.467998
Austin,AUM,-92.93340302,43.66500092
Austin,AUS,-97.66989899,30.19449997
Awar,AWR,144.853,-4.124
Baden-Baden,FKB,8.080499649,48.77939987
Baganga,BNQ,126.5688889,7.611944444
Bagotville,YBG,-70.99639893,48.33060074
Bahja,BJQ,56.06777778,19.87305556
Baicheng,DBC,123.019722,45.505278
Baie-Comeau,YBC,-68.20439911,49.13249969
Bainbridge,BGE,-84.63739777,30.9715004
Baise,AEB,106.9599991,23.72060013
Baker Lake,YBK,-96.07779694,64.29889679
Bakersfield,BFL,-119.0569992,35.43360138
Baku,ZXT,49.97680664,40.49554222
Baleela Base Camp,BJE,28.52305556,11.19944444
Ballalae,BAS,155.886656,-6.990745
Baltrum,BMR,7.373332977,53.72472382
Bambu,BCP,146.4925,-5.863611111
Bamfield,YBF,-125.1330032,48.83330154
Bamu,BMZ,143.2433,-7.8485
Banff,YBA,-115.5418611,51.20734047
Banfora,BNR,-4.717000008,10.68299961
Bangor,BGR,-68.82810211,44.80739975
Baniyala,BYX,136.227005,-13.19810009
Banning,BNG,-116.8509979,33.92309952
Banz,BNZ,144.623,-5.807
Bar Harbor,BHB,-68.3615036,44.45000076
Bar River,YEB,-84.09220123,46.42029953
Barakoma,VEV,156.7059937,-7.912779808
Baranof,BNF,-134.833146,57.088799
Barrie-Orillia,YLK,-79.55560303,44.48529816
Bathurst,ZBF,-65.73889923,47.62969971
Batna,BLJ,6.308589935,35.7521019
Batuna Mission Station,BPF,158.1193056,-8.562027778
Bauchi,BCU,9.744,10.482833
Baudette,BDE,-94.61219788,48.72840118
Baures,BVL,-63.58333206,-13.58333302
Bayanhot,AXF,105.58858,38.74831
Bayreuth,BYU,11.64,49.985001
Bazaruto Island,BZB,35.4729,-21.5411
Bazaruto Island,IBL,35.452801,-21.708
Bazhong,BZX,106.644872,31.73842
Bearskin Lake,XBE,-91.02719879,53.96559906
Beaufort,BFT,-80.63439941,32.41220093
Beaumont,BMT,-94.21579742,30.07069969
Beaver Creek,YXQ,-140.8670044,62.41030121
Bedford,BED,-71.28900146,42.47000122
Bedford,BFR,-86.44539642,38.84000015
Bedwell Harbour,YBW,-123.2330017,48.75
Beeville,NIR,-97.661917,28.362444
Belfast,BFS,-6.215829849,54.65750122
Belfast,BHD,-5.872499943,54.61809921
Belfast,GSS,31.44884777,-24.94737543
Beliyela,BYL,-9.993722222,7.369166667
Belize City,TZA,-88.19444275,17.51638985
Bell Island,KBE,-131.5720062,55.92910004
Bella Bella,YSX,-128.08299,52.150002
Bella Bella,ZEL,-128.156994,52.185001
Bella Coola,QBC,-126.596001,52.387501
Bellaire,ACB,-85.198402,44.988602
Belle Chasse,BCS,-90.02220154,29.86610031
Belleville,BLV,-89.835197,38.5452
Bellingham,BLI,-122.538002,48.7928009
Belmopan,BCV,-88.776496,17.269603
Bemidji,BJI,-94.93370056,47.50939941
Bemolanga,BZM,45.08883333,-17.6925
Benguera Island,BCW,35.43830109,-21.85330009
Benin,BNI,5.599500179,6.316979885
Bensbach,BSP,141.2594444,-8.858055556
Benson,BEX,-1.095829964,51.61640167
Benson,BBB,-95.65059662,45.33190155
Bentota,BJT,79.996,6.431
Bereina Mission,BEA,146.5083,-8.64
Berens River,YBV,-97.018303,52.358898
Bergen,BGO,5.218140125,60.29339981
Berlin,BER,13.49388889,52.35138889
Berlin,SXF,13.5225,52.380001
Berlin,THF,13.40390015,52.47299957
Berlin,TXL,13.2877,52.5597
Berlin,BML,-71.17590332,44.57540131
Besakoa,BSV,47.06166667,-15.6725
Bewani,BWP,141.1652778,-3.021666667
Biaru,BRP,146.7594,-7.6693
Bickerton Island,BCZ,136.2016667,-13.78083333
Bielefeld,BFE,8.544444,51.964722
Big Bay,YRR,-125.1316166,50.40944743
Big Creek,BGK,-88.40791321,16.51936913
Big Trout Lake,YTL,-89.89689636,53.81779861
Bigatyelang Island,AIC,168.8257,7.279422
Bila,AFT,160.9486111,-9.191388889
Bildudalur,BIU,-23.5461998,65.64129639
Biliau,BIJ,146.339,-5.578
Billings,BIL,-108.5429993,45.80770111
Bimini,NSB,-79.25,25.7670002
Binghamton,BGM,-75.97979736,42.20869827
Birmingham,BHX,-1.748029947,52.45389938
Birmingham,BHM,-86.75350189,33.56290054
Bishop,BIH,-118.3639984,37.37310028
Biskra,BSK,5.738230228,34.79330063
Bitburg,BBJ,6.565,49.945278
Black Tickle,YBI,-55.78499985,53.4693985
Blackwell,BWL,-97.31700134,36.79589844
Blakely Island,BYW,-122.8259964,48.57899857
Blissville,YYS,-66.543678,45.605633
Bloodvein River,YDV,-96.692305,51.784568
Bloomington,BMG,-86.61669922,39.14599991
Blythe,BLH,-114.7170029,33.61920166
Boana,BNV,146.825,-6.433
Boang Island,BOV,153.2812,-3.3834
Bob Quinn Lake,YBO,-130.25,56.96670151
Bobo Dioulasso,BOY,-4.33096981,11.16009998
Boca Raton,BCT,-80.10769653,26.37849998
Bodinumu,BNM,147.6667222,-9.107777778
Bogande,XBG,-0.166999996,12.9829998
Bogota,PRM,-74.084444,4.728056
Bokoro,BKR,17.06699944,12.38300037
Boku,BOQ,155.3419,-6.5427
Bolovip,BVP,141.655,-5.3633
Bomai,BMH,144.637,-6.373166667
Bonaventure,YVB,-65.46029663,48.07109833
Bondoukou,BDK,-2.761940002,8.017219543
Bongo,BGP,10.2088,-2.1713
Bonn,BNJ,7.163332939,50.76889038
Bonnyville,YBY,-110.744003,54.304199
Bordj Badji Mokhtar,BMW,0.923888981,21.375
Borkum,BMK,6.709167,53.59639
Bosset,BOT,141.1063222,-7.237257
Bossier City,BAD,-93.66269684,32.50180054
Boswell Bay,BSW,-146.1459961,60.42309952
Boulder,WBU,-105.2259979,40.03939819
Boulsa,XBO,-0.566999972,12.64999962
Bouna,BQO,-3.025279999,9.277500153
Boundary,BYA,-141.1130066,64.07830048
Boundiali,BXI,-6.467000008,9.532999992
Bradford,BDF,-89.61569977,41.23089981
Bradford,BFD,-78.64009857,41.80310059
Brady,BBD,-99.32389832,31.17930031
Bragado,QRF,-60.4803,-35.144
Brandon,YBR,-99.951897,49.91
Branson,BKG,-93.200544,36.532082
Braunschweig,BWE,10.5561,52.319199
Brava Island,BVR,-24.746,14.86430556
Brazoria,BZT,-95.57969666,28.98220062
Breckenridge,BKD,-98.89099884,32.71900177
Bremen,BRE,8.786669731,53.04750061
Bremerhaven,BRV,8.572778,53.506943
Bridgeport,BDR,-73.12619781,41.16350174
Brigham City,BMC,-112.061996,41.552399
Brighton,ESH,-0.297222,50.835602
Bristol,BRS,-2.71909,51.382702
Bristol,FZO,-2.590830088,51.51940155
Brochet,YBT,-101.679001,57.8894
Brockville,XBR,-75.75029755,44.63940048
Bromont,ZBM,-72.74140167,45.29079819
Bronson Creek,YBM,-131.0870056,56.68109894
Brookings,BOK,-124.290001,42.0746
Brookings,BKX,-96.816902,44.304798
Brussels,BRU,4.48443985,50.90140152
Brussels,CRL,4.45382,50.459202
Buchanan,UCN,-10.058333,5.904167
Buffalo Narrows,YVT,-108.4179993,55.84189987
Buka Island,BUA,154.6730042,-5.422319889
Bulolo,BUL,146.6495419,-7.216286671
Bundi,BNT,145.2275,-5.742222222
Bunsil - Umboi Island,BXZ,147.8667,-5.7243
Burns,BNO,-118.9550018,43.59189987
Burns Lake,YPZ,-125.9509964,54.37639999
Burwash,YDB,-139.0410004,61.37110138
Cache Creek,YZA,-121.321314,50.775258
Caia,CMZ,35.3341,-17.8331
Cairo,CAI,31.40559959,30.12190056
Calabar,CBQ,8.347200394,4.976019859
Caleta Olivia,CVI,-67.51860046,-46.43180084
Calgary,YYC,-114.0199966,51.11389923
Calverton,CTO,-72.79190063,40.9151001
Cambridge,CBG,0.175,52.205002
Cambridge Bay,YCB,-105.1380005,69.10810089
Camp Dwyer,DWR,64,31
Campbell River,YHH,-125.25,50.049999
Campbell River,YBL,-125.2710037,49.95080185
Candle,CDL,-161.9259949,65.90769959
Cangamba,CNZ,19.861099,-13.7106
Canton,CTK,-96.570999,43.308899
Capanda,KNP,15.4553194,-9.769370079
Cape Dorset,YTE,-76.52670288,64.23000336
Cape Gloucester,CGC,148.432417,-5.458965
Carlisle,CAX,-2.809170008,54.9375
Carlton Hill,CRY,128.5339966,-15.50189972
Carmen de Patagones,CPG,-62.9803,-40.7781
Cartwright,YRF,-57.04190063,53.68280029
Cascade Locks,CZK,-121.8789978,45.67689896
Casiguran,CGG,122.0651,16.1941
Castlegar,YCG,-117.6320038,49.29639816
Castori Islets,DOI,150.7218,-10.7009
Cat Lake,YAC,-91.82440186,51.72719955
Caye Caulker,CUK,-88.03250122,17.73469925
Caye Chapel,CYC,-88.04109955,17.70079994
Center Island,CWS,-122.8320007,48.49010086
Centralia,YCE,-81.508301,43.285599
Chapleau,YLD,-83.34670258,47.81999969
Charata,CNT,-61.2103,-27.2164
Charleston,NOC,-8.818490028,53.91030121
Charlevoix,YML,-70.22389984,47.59749985
Charlo,YCL,-66.330299,47.990799
Charlotte,QWG,-80.67009735,35.21379852
Charlottetown,YYG,-63.12110138,46.29000092
Chatham,CYM,-134.945999,57.5149
Chatham-Kent,XCM,-82.08190155,42.3064003
Cheadle,TIL,-113.6240005,51.05749893
Chena Hot Springs,CEX,-146.0469971,65.05180359
Chesterfield Inlet,YCS,-90.73110199,63.34690094
Chetwynd,YCQ,-121.6269989,55.68719864
Chevery,YHR,-59.63669968,50.46889877
Chibougamau,YMT,-74.52809906,49.77190018
Chicken,CKX,-141.9519959,64.07129669
Chifeng,AEQ,120.15958,43.87042
Chignik Lake,KCQ,-158.7749939,56.25500107
Chilko Lake,CJH,-124.1419983,51.62609863
Chilliwack,YCW,-121.939003,49.15280151
Chinguetti,CGT,-12.3978,20.5055
Chisana,CZN,-142.0480042,62.07120132
Chisasibi,YKU,-78.91690063,53.80559921
Chistochina,CZO,-144.6690063,62.56349945
Chitina,CXC,-144.427002,61.582901
Chomley,CIV,-132.21,55.217
Chuathbaluk,CHU,-159.216003,61.579102
Churchill,YYQ,-94.06500244,58.73920059
Churchill Falls,ZUM,-64.10639954,53.56190109
Chutes-des-Passes,YWQ,-71.138,49.9434
Circle Hot Springs,CHP,-144.6109924,65.48549652
Clear Lake,CLC,-95.1383,29.5555
Cleveland,BKL,-81.6832962,41.51750183
Clinton Creek Mine,YLM,-140.741748,64.475545
Cloppenburg,VAC,8.040556,52.908333
Cluff Lake,XCL,-109.5159988,58.39110184
Clyde River,YCY,-68.51670074,70.48609924
Cochrane,YCN,-81.01360321,49.10559845
Cold Lake,YOD,-110.2789993,54.40499878
Collins Bay,YKC,-103.6780014,58.23609924
Cologne,CGN,7.142739773,50.86589813
Colombo,BYV,79.85416667,6.929444444
Colombo,DGM,79.8721,7.1079
Colonsay,CSA,-6.24306,56.057499
Colorado Springs,AFF,-104.8130035,38.96969986
Columbus,CLU,-85.89630127,39.26190186
Colville Lake,YCK,-126.126,67.02
Comox,YQQ,-124.887001,49.71080017
Conklin,CFM,-111.278999,55.695301
Constantine,CZL,6.620389938,36.27600098
Coolibah,COB,130.9620056,-15.54829979
Cooperstown,COP,-74.89099884,42.62919998
Coorabie,CRJ,132.2960052,-31.89439964
Copenhagen,CPH,12.65600014,55.61790085
Copenhagen,RKE,12.13140011,55.58560181
Coral Harbour,YZS,-83.35939789,64.19329834
Cordova,CKU,-145.727005,60.54389954
Cornwall,YCC,-74.56330109,45.09280014
Corolla,DUF,-75.78849792,36.25350189
Coronation,YCT,-111.4449997,52.07500076
Corozal,CZH,-88.41190338,18.38220024
Cotonou,COO,2.384350061,6.357230186
Cottbus,CBU,14.531944,51.889442
Council,CIL,-163.7030029,64.89790344
Courtenay,YCA,-124.9820023,49.6794014
Coventry,CVT,-1.479719996,52.36970139
Cowley,YYM,-114.0940018,49.63639832
Craig,CGA,-133.147995,55.47880173
Cranbrook,YXC,-115.7819977,49.6108017
Crane Island,CKR,-122.9979,48.5978
Cresswell Downs,CSD,135.9160004,-17.94799995
Crested Butte,CSE,-106.928341,38.851918
Creston,CFQ,-116.4980011,49.03689957
Crestone,BCJ,-105.7766667,37.96477778
Crooked Creek,CKD,-158.1349945,61.86790085
Cross Lake,YCR,-97.76080322,54.61059952
Culion Island,CUJ,119.9378,11.8553
Culver City,CVR,-118.417,33.975
Cuxhaven,FCN,8.658499718,53.7677002
Dahl Creek,DCK,-156.9049988,66.94329834
Dallas,ADS,-96.83640289,32.96860123
Dalnegorsk,DHG,135.490005,44.558748
Dalnerechensk,DLR,133.7363,45.8783
Dambulla,DBU,80.6304,7.8604
Dandong,DDG,124.286003,40.0247
Dangriga,DGA,-88.23098755,16.98250961
Daqing Shi,DQA,125.1405556,46.74638889
Daru,DAU,143.2079926,-9.086759567
Daugo Island,DGG,147.0505,-9.5128
Dauphin,YDN,-100.052002,51.10079956
Dawson City,YDA,-139.128006,64.04309845
Dawson Creek,YDQ,-120.1829987,55.74229813
Dazu,DZU,105.773621,29.636227
Dease Lake,YDL,-130.0319977,58.42219925
Debepare,DBP,141.9055556,-6.308611111
Decatur,DCR,-84.862464,40.837548
Dedougou,DGU,-3.49000001,12.45899963
Deer Harbor,DHB,-123.0027778,48.61666667
Deer Lake,YDF,-57.39139938,49.21080017
Deer Lake,YVZ,-94.06140137,52.65579987
Deer Park,DPK,-73.31,40.76
Dekai - Yahukimo,DEX,139.482006,-4.8557
Delta Junction,DJN,-145.7169952,64.05039978
Demgulu,MFZ,149.1183,-6.1364
Denver,APA,-104.848999,39.57009888
Denver,BJC,-105.1169968,39.90879822
Deputatskiy,DPT,139.890012,69.392503
Derim,DER,147.1072222,-6.144722222
Diamantina Lakes,DYM,141.1450043,-23.76169968
Diapaga,DIP,1.784631,12.060324
Diavik,DVK,-110.2890015,64.51139832
Dickwella,DIW,80.733129,5.990192
Diebougou,XDE,-3.25,10.94999981
Digby,YDG,-65.78542471,44.54584504
Dilasag,DSG,122.2068056,16.44583333
Dimbokro,DIM,-4.64056015,6.651669979
Dinangat,DNU,146.6772,-6.1546
Dios,DOS,154.9616,-5.5609
Dirico,DRC,20.76806068,-17.98192406
Djanet,DJG,9.45244,24.292801
Djelfa,QDJ,3.351,34.6657
Djerba,DJE,10.7755003,33.875
Djibo,XDJ,-1.633000016,14.10000038
Djougou,DJA,1.637777778,9.692083333
Donaueschingen,ZQL,8.522221565,47.97333145
Dongola,DOG,30.43009949,19.15390015
Dongying,DOY,118.788002,37.50859833
Donnelly,YOE,-117.094002,55.7094
Dori,DOR,-0.033,14.03299999
Dorobisoro,DOO,147.920907,-9.461855
Dortmund,DTM,7.612239838,51.5182991
Douglas Lake,DGF,-120.1712734,50.16546005
Drayton Valley,YDC,-114.9599991,53.26580048
Dresden,DRS,13.76720047,51.13280106
Dryden,YHD,-92.744202,49.831699
Dubai,DCG,55.33138889,25.24222222
Dublin,DUB,-6.27007,53.421299
Duhamel,YGA,-75.11530304,46.11750031
Dumpu,DPU,145.705,-5.858
Duncan,DUQ,-123.7097025,48.75453362
Dundee,DND,-3.02583003,56.45249939
Dunsmuir,MHS,-122.272003,41.263199
Durango,AMK,-107.8690033,37.20320129
Durham,MME,-1.429409981,54.50920105
Eagle Pass,EGP,-100.512001,28.85720062
Earlton,YXR,-79.84734535,47.69740065
East Hartford,EHT,-72.6253,41.7517
East Sound,WDN,-123.0179977,48.71179962
Eastmain River,ZEM,-78.52249908,52.22639847
Ebermannstadt,URD,11.13361073,49.79416656
Ebon Atoll,EBO,168.752,4.5982
Edmonton,YEG,-113.5800018,53.30970001
Edmonton,YXD,-113.5210037,53.57249832
Edna Bay,EDA,-133.661012,55.949653
Edson,YET,-116.4649963,53.57889938
Efogi,EFG,147.6598056,-9.153805556
Egegik,BSZ,-157.352005,58.21620178
Eisenach,EIB,10.47973,50.991604
Ekati,YOA,-110.6149979,64.69889832
El Bayadh,EBH,1.0925,33.72166667
El Borma,EBM,9.254619598,31.70429993
El Daein,ADV,26.1186,11.4023
Eliptamin,EPT,141.6779,-5.0412
Ellamar,ELW,-146.704038,60.893818
Elliot Lake,YEL,-82.56140137,46.35139847
Embessa,EMS,148.7628,-9.447
Emden,EME,7.2275,53.391109
Emo Mission,EMO,148.0415,-9.1234
Enegu,ENU,7.56196022,6.474269867
Engati,EGA,146.1053,-6.9179
Enontekio,ENF,23.42429924,68.36260223
Entrance Island,HBH,-133.43848,57.412201
Eqalugaarsuit,QFG,-45.91406196,60.61971965
Erfurt,ERF,10.95810032,50.97980118
Erume,ERU,146.9747,-8.2538
Essington,PSQ,-75.29959869,39.85900116
Estevan,YEN,-102.9660034,49.21030045
Eunice,UCE,-92.42379761,30.46629906
Eureka,YEU,-85.81420136,79.99469757
Eureka,EUE,-116.0049973,39.60419846
Evadale,EVA,-94.07350159,30.32099915
Fada N'gourma,FNG,0.349999994,12.03299999
Fairmont Hot Springs,YCZ,-115.8730011,50.33029938
Fairview,ZFW,-118.4349976,56.08140183
False Island,FAK,-135.2129974,57.53219986
Faro,ZFA,-133.3760071,62.20750046
Fatima Mission,WTP,147.2525,-8.545833333
Fera Island,FRE,159.576996,-8.1075
Feramin,FRQ,141.6988,-5.208
Ferkessedougou,FEK,-5.1833333,9.6
Flateyri,FLI,-23.4416914,66.01418043
Flensburg,FLF,9.378889084,54.7733345
Flin Flon,YFO,-101.6819992,54.67810059
Florence,FMU,-124.1110001,43.98279953
Fond-Du-Lac,ZFD,-107.1819992,59.33440018
Fontanges,YFG,-71.1733017,54.55390167
Forestville,YFE,-69.09719849,48.74610138
Fort Albany,YFA,-81.69689941,52.20140076
Fort Bragg,FOB,-123.7959976,39.47430038
Fort Chipewyan,YPY,-111.1169968,58.76720047
Fort Frances,YAG,-93.43969727,48.65420151
Fort Good Hope,YGH,-128.651001,66.24079895
Fort Hope,YFH,-87.90779877,51.56190109
Fort Liard,YJF,-123.4690018,60.2358017
Fort Mackay,HZP,-111.7009964,57.38169861
Fort McMurray,NML,-111.5739975,57.05559921
Fort McMurray,YMM,-111.2220001,56.65330124
Fort Mcpherson,ZFM,-134.8609924,67.40750122
Fort Nelson,YYE,-122.5970001,58.83639908
Fort Reliance,YFL,-109.167,62.7
Fort Resolution,YFR,-113.6900024,61.18080139
Fort Severn,YER,-87.67610168,56.01890182
Fort Simpson,YFS,-121.2369995,61.7602005
Fort Smith,YSM,-111.961998,60.02030182
Fort St.John,YXJ,-120.739998,56.238098
Fort Worth,AFW,-97.31880188,32.98759842
Foshan,FUO,113.0699997,23.08329964
Frankfurt am Main,FRA,8.570556,50.033333
Frankfurt am Main,QEF,8.645833,49.959999
Frankfurt am Main,HHN,7.26389,49.9487
Fredericton,YFC,-66.53720093,45.8689003
Freetown,HGS,-13.12909985,8.397130013
Freetown,FNA,-13.1955,8.61644
Frieda River,FAQ,141.960138,-4.610468
Friedrichshafen,FDH,9.511489868,47.67129898
Frying Pan Island,YSI,-80.137497,45.173302
Fuma,FUM,142.4408,-6.3933
Gafsa,GAF,8.822500229,34.42200089
Gagnoa,GGN,-5.949999809,6.132999897
Gander,YQX,-54.56809998,48.93690109
Gaoua,XGA,-3.163454,10.384059
Garove Island,WIU,149.440112,-4.689522
Gasuke,GBC,141.7393,-6.1028
Gatineau,YND,-75.56359863,45.52170181
General Villegas,VGS,-63,-35
Geraldton,YGQ,-86.93939972,49.77830124
Giebelstadt,GHF,9.966388702,49.64805603
Gillam,YGX,-94.71060181,56.35749817
Gimli,YGM,-97.04329681,50.62810135
Girdwood,AQY,-149.126007,60.966099
Gizo,GZO,156.8639984,-8.097780228
Gjoa Haven,YHK,-95.84970093,68.63559723
Glasgow,GLA,-4.433060169,55.87189865
Glasgow,PIK,-4.586669922,55.50939941
Gods Lake Narrows,YGO,-94.49140167,54.55889893
Gods River,ZGI,-94.07859802,54.83969879
Golden Horn Lodge,GDH,-158.875,59.74700165
Goose Bay,YYR,-60.42580032,53.31919861
Gore,GOR,35.5529,8.1614
Gore Bay,YZE,-82.56780243,45.88529968
Gorom-Gorom,XGG,-0.232999995,14.44999981
Goronka,GKA,145.3919983,-6.081689835
Gosport,PME,-1.169170022,50.83530045
Gothenburg,GOT,12.27980042,57.66279984
Gothenburg,GSE,11.8704,57.7747
Grand Forks,ZGF,-118.4309998,49.0155983
Grande Cache,YGC,-118.8740005,53.91690063
Grande Prairie,YQU,-118.8850021,55.17969894
Grants Pass,GTP,-123.388,42.510101
Great Bear Lake,DAS,-119.7070007,66.70310211
Greenfield,GFD,-85.73609924,39.79029846
Greenville,SNI,-9.066800117,5.034309864
Greenwood,YZX,-64.91690063,44.9844017
Grimsby,HUY,-0.350832999,53.57440186
Grimsby,GSY,-0.209999993,53.44670105
Grise Fiord,YGZ,-82.90920258,76.42610168
Guari,GUG,146.8722,-8.1286
Guemar,ELU,6.776790142,33.51139832
Guiglo,GGO,-7.526847,6.534711
Gurney,GUR,150.3339996,-10.3114996
Gusap,GAP,145.959047,-6.053196
Gustavus,BQV,-135.8849945,58.4552002
Gwarawon,NKN,146.4533,-5.837
Habi,HBD,142.4893,-6.32
Haines Junction,YHT,-137.5460052,60.78919983
Haivaro,HIT,143.059,-6.9406
Halifax,YHZ,-63.50859833,44.88079834
Hall Beach,YUX,-81.2425,68.77610016
Halli / Kuorevesi,KEV,24.786686,61.856039
Hamburg,HAM,9.988229752,53.63040161
Hamburg,XFW,9.83555603,53.53527832
Hamilton,YHM,-79.93499756,43.17359924
Hannover,HAJ,9.685079575,52.46110153
Harper,CPA,-7.696949959,4.379020214
Harrismith,HRS,29.10619926,-28.23509979
Hartford,BDL,-72.68319702,41.93889999
Hartley Bay,YTB,-129.25,53.416698
Haskovo,HKV,25.60479927,41.87179947
Hassi Messaoud,HME,6.140439987,31.67300034
Hatchet Lake,YDJ,-103.538002,58.66249847
Havre St-Pierre,YGV,-63.6114006,50.2818985
Hawarden,CEG,-2.977780104,53.17810059
Hay River,YHY,-115.7829971,60.83969879
